# x	y	u	v	flags	mask
1.0319e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.0692e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.1065e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.1438e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.1811e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2184e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2557e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2930e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3303e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.4049e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.4422e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.4795e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5168e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5541e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5914e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.6287e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.6660e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7033e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7406e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7779e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.8152e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.8525e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.8898e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.9271e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.9644e+01	1.0816e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4865e-01	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.2163e-01	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.9461e-01	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7406e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.1136e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4865e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.8595e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.2325e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.6055e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.9785e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.3514e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.7244e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.0974e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.4704e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.8433e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.2163e+00	1.0443e+01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
